S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-26,506.00,510.00,491.50,492.00,-3.87,"71,460.00","35,793,112.30"
2,2026-08-25,511.0,517.0,505.1,511.8,0.16,"58,020.00","29,502,601.90"
3,2026-08-24,518.0,525.0,506.9,511.0,-2.11,"88,635.00","45,631,273.30"
4,2026-08-21,534.0,541.9,521.3,522.0,-2.25,"70,674.00","37,545,370.60"
5,2026-08-20,537.0,538.0,528.1,534.0,-0.91,"58,434.00","31,086,294.10"
6,2026-08-19,530.0,547.0,530.0,538.9,1.3,"75,638.00","40,681,590.30"
7,2026-08-18,537.6,557.0,530.0,532.0,-1.04,"156,945.00","85,678,058.30"
8,2026-08-17,518.2,544.0,515.3,537.6,3.74,"160,716.00","85,697,527.00"
9,2026-08-14,516.0,525.0,515.1,518.2,0.43,"40,393.00","20,997,110.90"
10,2026-08-13,520.0,525.0,512.5,516.0,-0.58,"57,776.00","29,913,442.90"
11,2026-08-12,498.0,534.0,498.0,519.0,-0.84,"55,196.00","28,591,528.30"
12,2026-08-11,527.0,538.59,520.0,523.4,-0.83,"83,559.00","43,959,943.90"
13,2026-08-10,510.0,528.0,510.0,527.8,1.89,"45,869.00","23,854,279.80"
14,2026-08-07,525.0,530.0,515.7,518.0,-1.45,"50,921.00","26,565,866.80"
15,2026-08-06,513.4,535.0,513.0,525.6,2.46,"121,282.00","64,136,544.50"
16,2026-08-05,510.0,522.0,510.0,513.0,-0.08,"67,404.00","34,690,830.00"
17,2026-08-04,525.0,525.0,511.0,513.4,-3.06,"54,401.00","28,167,394.60"
18,2026-08-03,520.0,544.8,520.0,529.6,0.11,"101,464.00","54,010,877.80"
19,2026-07-31,545.8,545.8,508.2,529.0,1.75,"69,102.00","35,892,133.00"
20,2026-07-30,535.0,535.6,515.0,519.9,-2.82,"54,154.00","28,184,799.20"
21,2026-07-29,535.0,544.0,517.0,535.0,0.0,"52,308.00","27,684,714.60"
22,2026-07-28,515.0,537.0,505.0,535.0,2.88,"85,553.00","44,585,614.60"
23,2026-07-27,550.0,555.0,513.5,520.0,-5.8,"113,444.00","60,135,641.90"
24,2026-07-24,550.0,587.0,550.0,552.0,0.36,"105,483.00","59,577,722.80"
25,2026-07-23,521.0,552.0,510.0,550.0,4.17,"109,172.00","58,185,687.90"
26,2026-07-22,539.0,550.0,520.9,528.0,-1.49,"89,670.00","48,087,223.80"
27,2026-07-21,505.0,563.0,491.1,536.0,6.56,"129,965.00","68,599,398.00"
28,2026-07-20,481.0,506.3,468.0,503.0,4.57,"101,629.00","49,561,867.80"
29,2026-07-17,462.0,486.2,462.0,481.0,4.11,"55,633.00","26,612,846.90"
30,2026-07-16,470.0,476.0,455.5,462.0,-1.7,"36,739.00","17,081,260.70"
31,2026-07-15,460.0,486.0,456.6,470.0,1.84,"53,760.00","25,334,842.00"
32,2026-07-14,462.5,474.4,444.0,461.5,-0.22,"56,112.00","25,776,480.10"
33,2026-07-13,490.0,495.5,462.0,462.5,-5.03,"56,722.00","26,713,611.30"
34,2026-07-10,455.0,505.9,443.0,487.0,6.15,"69,740.00","33,893,358.90"
35,2026-07-09,471.1,471.1,445.2,458.8,-2.61,"83,860.00","37,909,295.50"
36,2026-07-08,505.0,509.0,465.1,471.1,-6.36,"164,060.00","78,457,570.00"
37,2026-07-07,477.0,523.2,477.0,503.1,10.57,"156,960.00","79,567,412.00"
38,2026-07-06,396.7,455.0,396.7,455.0,14.99,"1,260.00","571,609.00"
39,2026-07-03,359.5,395.7,359.5,395.7,15.0,230.00,"89,858.00"
40,2026-07-02,299.3,344.1,299.3,344.1,14.97,410.00,"139,313.00"
