S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,545.00,549.00,522.50,530.00,-2.75,"25,532.00","13,536,077.70"
2,2026-08-21,529.2,572.5,529.2,545.0,-1.98,"35,665.00","19,520,358.70"
3,2026-08-20,534.8,564.9,534.8,556.0,-1.07,"22,973.00","12,775,561.30"
4,2026-08-19,533.5,564.0,533.5,562.0,0.36,"25,681.00","14,328,807.00"
5,2026-08-18,523.5,565.0,523.5,560.0,1.8,"59,865.00","33,418,582.10"
6,2026-08-17,515.9,555.0,515.9,550.1,1.49,"36,340.00","19,926,239.50"
7,2026-08-14,535.0,555.0,535.0,542.0,0.0,"23,246.00","12,592,691.20"
8,2026-08-13,522.5,560.0,522.5,542.0,-1.45,"15,904.00","8,640,381.40"
9,2026-08-12,550.0,556.0,542.2,550.0,-1.22,"19,197.00","10,504,299.40"
10,2026-08-11,532.5,570.0,532.5,556.8,-0.57,"38,961.00","21,808,793.70"
11,2026-08-10,527.0,562.9,527.0,560.0,1.08,"39,899.00","22,250,838.90"
12,2026-08-07,529.9,570.0,529.9,554.0,0.36,"37,966.00","21,082,316.10"
13,2026-08-06,533.0,565.0,533.0,552.0,1.28,"76,497.00","42,615,758.40"
14,2026-08-05,520.6,560.0,520.6,545.0,-0.55,"28,402.00","15,342,814.50"
15,2026-08-04,550.0,554.0,538.0,548.0,-0.36,"31,301.00","16,965,418.10"
16,2026-08-03,542.0,561.0,542.0,550.0,0.2,"31,896.00","17,537,901.50"
17,2026-07-31,530.0,548.9,520.0,548.9,1.84,"39,253.00","21,039,172.90"
18,2026-07-30,557.9,565.0,535.0,539.0,-3.39,"38,317.00","20,924,487.40"
19,2026-07-29,560.0,569.0,551.0,557.9,-0.38,"24,588.00","13,768,452.00"
20,2026-07-28,553.0,568.0,540.4,560.0,1.27,"46,693.00","25,790,025.20"
21,2026-07-27,570.0,580.0,547.0,553.0,-3.66,"55,680.00","31,359,380.70"
22,2026-07-24,581.0,610.0,573.0,574.0,-2.71,"57,766.00","33,986,268.30"
23,2026-07-23,565.0,595.0,551.0,590.0,4.42,"62,548.00","35,909,280.60"
24,2026-07-22,561.0,570.0,551.0,565.0,0.36,"44,494.00","24,916,039.10"
25,2026-07-21,536.1,585.0,531.0,563.0,5.02,"72,970.00","40,727,849.20"
26,2026-07-20,516.0,546.5,504.0,536.1,3.9,"44,722.00","23,694,974.10"
27,2026-07-17,494.0,524.0,494.0,516.0,4.28,"44,421.00","22,733,296.80"
28,2026-07-16,496.0,506.8,477.0,494.8,0.16,"29,596.00","14,518,554.30"
29,2026-07-15,494.0,506.0,492.0,494.0,-0.4,"17,167.00","8,554,860.40"
30,2026-07-14,500.0,504.9,480.2,496.0,0.61,"31,104.00","15,344,898.40"
31,2026-07-13,520.0,520.0,493.0,493.0,-6.24,"25,046.00","12,627,679.20"
32,2026-07-10,496.0,539.6,485.0,525.8,6.01,"31,763.00","16,351,167.50"
33,2026-07-09,500.1,505.0,490.1,496.0,-2.75,"27,489.00","13,661,085.50"
34,2026-07-08,530.0,530.0,500.0,510.0,-3.86,"38,135.00","19,505,078.90"
35,2026-07-07,540.0,560.0,530.1,530.5,-4.41,"57,686.00","31,084,234.00"
36,2026-07-06,554.8,583.0,554.2,555.0,-4.97,"51,401.00","28,888,180.40"
37,2026-07-03,566.8,602.0,566.8,584.0,-2.11,"44,285.00","26,140,019.90"
38,2026-07-02,618.0,640.0,590.0,596.6,-3.49,"41,840.00","25,099,760.00"
39,2026-07-01,596.0,655.0,550.0,618.2,3.67,"75,170.00","45,805,100.00"
40,2026-06-30,728.2,772.5,591.1,596.3,-14.03,"179,731.00","113,278,711.00"
41,2026-06-29,633.3,693.6,633.3,693.6,14.99,"3,620.00","2,506,563.00"
42,2026-06-26,540.3,603.2,540.3,603.2,14.98,630.00,"378,489.00"
43,2026-06-25,456.6,524.6,456.6,524.6,14.99,338.00,"175,050.80"
44,2026-06-24,408.6,456.2,408.6,456.2,15.0,240.00,"108,332.00"
45,2026-06-23,346.1,396.7,346.1,396.7,14.99,220.00,"85,807.00"
46,2026-06-22,300.0,345.0,300.0,345.0,15.0,260.00,"87,924.00"
