S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-24,8.90,9.01,8.68,8.96,0.45,"254,600.00","2,293,464.00"
2,2026-08-21,9.00,9.15,8.73,8.92,-0.67,"4,900.00","43,810.00"
3,2026-08-20,8.90,9.15,8.90,8.98,-0.33,"11,000.00","98,787.00"
4,2026-08-19,8.90,9.27,8.80,9.01,1.01,"11,350.00","103,429.50"
5,2026-08-18,9.00,9.10,8.56,8.92,-0.89,"7,350.00","65,753.00"
6,2026-08-17,9.00,9.25,8.75,9.00,-0.88,"46,730.00","420,627.10"
7,2026-08-14,9.00,9.10,8.80,9.08,-0.44,"6,150.00","55,638.50"
8,2026-08-13,9.00,9.40,9.00,9.12,0.44,"9,241.00","85,195.35"
9,2026-08-12,9.01,9.15,8.75,9.08,0.78,"9,600.00","86,919.50"
10,2026-08-11,8.58,9.41,8.58,9.01,-0.22,"18,520.00","167,019.00"
11,2026-08-10,10.00,10.00,8.50,9.03,-9.70,"17,720.00","160,077.19"
